float,published_numbers,covered,reproduced_by_rewrite,reproduced_by_archive
figure_1,114,114,114,114
figure_2,36,36,36,36
figure_3,3,2,2,NA
figure_4,27,9,7,NA
figure_5,3,2,2,NA
figure_6,0,0,NA,NA
supplementary_figure_1,1,0,0,NA
supplementary_figure_2,2,1,1,NA
supplementary_figure_3,2,1,1,NA
supplementary_figure_4,1,0,0,NA
supplementary_table_1,399,399,399,399
supplementary_table_2,126,126,126,126
supplementary_table_3,176,176,176,176
table_1,95,95,95,95
