quantity,value
n_acronym_ads,15043
n_persuasion_ads,14237
spend_lb_biden,368800
spend_lb_trump,3254600
spend_lb_both,244500
spend_lb_promoted_news,1275000
spend_lb_video,2288900
spend_lb_other,304000
spend_lb_persuasion_total,3867900
spend_ub_persuasion_total,5921963
spend_lb_all_acronym_ads,4402700
