covariate,covariate_value,estimator,estimate,std.error,df,statistic,p.value,conf.low,conf.high,entry
Race,Latinx,Unadjusted,-0.0029389323346855406,0.003592351473307478,179034,-0.8181082381618037,0.4132964740461045,-0.009979859442570169,0.004101994773199087,-0.003 (0.004)
Race,Latinx,PAP adjustment set,-0.0022082121793227686,0.0032246369521433923,179031,-0.6847940441341734,0.49347478072877204,-0.008528427197454332,0.004112002838808794,-0.002 (0.003)
Race,Latinx,Full adjustment set,-0.002101771404274143,0.0032104111308792808,179014,-0.6546735974275361,0.5126787689226893,-0.008394104140615222,0.004190561332066937,-0.002 (0.003)
Race,Other,Unadjusted,-0.003350733887085929,0.009076426557655386,55569,-0.3691688425837368,0.7120032847409292,-0.021140590534360904,0.014439122760189048,-0.003 (0.009)
Race,Other,PAP adjustment set,-0.006779947689243453,0.008253652602104068,55566,-0.821448153453305,0.4113945690197762,-0.02295716190981898,0.009397266531332077,-0.007 (0.008)
Race,Other,Full adjustment set,-0.006565192715719218,0.008240834904859485,55549,-0.7966659678921406,0.42564845866845913,-0.022717284271770506,0.009586898840332071,-0.007 (0.008)
Race,White,Unadjusted,1.399949665035949e-4,0.0016509566909399629,1531127,0.08479626829210739,0.9324233714145445,-0.0030958232457070404,0.0033758131787142306,0.000 (0.002)
Race,White,PAP adjustment set,-1.6889328656459642e-4,0.001462410297918741,1531124,-0.11548967263493723,0.9080570208932219,-0.0030351670669161467,0.0026973804937869537,-0.000 (0.001)
Race,White,Full adjustment set,-1.001699691272586e-4,0.0014504231075190394,1531107,-0.06906258498501182,0.9449398117643044,-0.002942949269471963,0.0027426093312174454,-0.000 (0.001)
Margin,Vote margin less than 3pp,Unadjusted,-1.2659375709668129e-4,0.0017284306264909938,1337055,-0.07324202380843482,0.9416135369601216,-0.0035142586014676033,0.0032610710872742407,-0.000 (0.002)
Margin,Vote margin less than 3pp,PAP adjustment set,-8.261924964480934e-4,0.001521643676294185,1337052,-0.5429605559563095,0.5871570511111944,-0.0038085619990741613,0.0021561770061779744,-0.001 (0.002)
Margin,Vote margin less than 3pp,Full adjustment set,-7.356209709444453e-4,0.0015063968833392092,1337023,-0.48833144776149856,0.6253151700182238,-0.00368810728150527,0.0022168653396163794,-0.001 (0.002)
Margin,Vote margin more than 3pp,Unadjusted,-6.933098702673559e-4,0.0022380630483812233,662223,-0.3097812060159889,0.756727441949275,-0.005079840857617591,0.003693221117082879,-0.001 (0.002)
Margin,Vote margin more than 3pp,PAP adjustment set,-1.9188763878188873e-4,0.0019994509238645364,662220,-0.09597016685511267,0.9235442956094855,-0.004110746601059213,0.0037269713234954357,-0.000 (0.002)
Margin,Vote margin more than 3pp,Full adjustment set,-3.847747048852571e-5,0.0019921473464100106,662191,-0.019314570560187132,0.984590166290181,-0.0039430216581455586,0.003866066717168507,-0.000 (0.002)
Partisanship,Democrat,Unadjusted,0.0052146630958135164,0.005551793379176965,182943,0.9392754268147084,0.34759059178604046,-0.005666723969051818,0.016096050160678853,0.005 (0.006)
Partisanship,Democrat,PAP adjustment set,0.007732878835930745,0.004879099183163365,182940,1.5848988810506475,0.11299103928271989,-0.0018300431101125197,0.01729580078197401,0.008 (0.005)
Partisanship,Democrat,Full adjustment set,0.006800458070355803,0.004803989053349754,182914,1.4155856715813995,0.15689855148446086,-0.0026152497612380587,0.016216165901949665,0.007 (0.005)
Partisanship,Other,Unadjusted,-4.5780788346210996e-5,0.0034847119987853636,302389,-0.01313761032824762,0.9895180137475659,-0.006875718140473549,0.006784156563781127,-0.000 (0.003)
Partisanship,Other,PAP adjustment set,-5.911225829635028e-5,0.0030877516657699623,302386,-0.01914411024424467,0.9847261556127216,-0.006111018540457979,0.005992794023865278,-0.000 (0.003)
Partisanship,Other,Full adjustment set,1.1544025275639595e-4,0.0031005093366873538,302360,0.03723267380311605,0.9702995113184689,-0.005961470707108139,0.006192351212620932,0.000 (0.003)
Partisanship,Republican,Unadjusted,-0.00899551156567071,0.005202885101049699,71873,-1.728946803736995,0.08382291045996562,-0.019193150710940167,0.00120212757959875,-0.009 (0.005)
Partisanship,Republican,PAP adjustment set,-0.009848866727910511,0.004917216205006942,71870,-2.002935465372039,0.045187964227183595,-0.019486595703140944,-2.1113775268007985e-4,-0.010 (0.005)
Partisanship,Republican,Full adjustment set,-0.010379621752901549,0.004888426802132092,71844,-2.123305139472369,0.03373169864455332,-0.019960923643466008,-7.983198623370876e-4,-0.010 (0.005)
Partisanship,Unknown,Unadjusted,-4.376237688441583e-4,0.0015864181082099079,1442069,-0.2758565138530642,0.7826583148024789,-0.003546948735092189,0.002671701197403872,-0.000 (0.002)
Partisanship,Unknown,PAP adjustment set,-0.0012613883215442383,0.0013995289161512878,1442066,-0.9012949335931287,0.3674316773631583,-0.004004416894820622,0.0014816402517321458,-0.001 (0.001)
Partisanship,Unknown,Full adjustment set,-0.0010873548115798361,0.0013885169147241218,1442040,-0.7831051966665294,0.43356546838198695,-0.0038088002405871424,0.0016340906174274704,-0.001 (0.001)
Trump support,30 to 40,Unadjusted,0.003246122326747177,0.002548584731745831,522916,1.273696058174028,0.20277172011192987,-0.0017490235210103227,0.008241268174504678,0.003 (0.003)
Trump support,30 to 40,PAP adjustment set,0.0036308083589336572,0.0022512413063476076,522913,1.6128028340170455,0.10678795367514947,-7.815537351249209e-4,0.008043170452992236,0.004 (0.002)
Trump support,30 to 40,Full adjustment set,0.0038468233885288264,0.0022318358461047684,522884,1.7236139455519104,0.08477815043684167,-5.27504614876011e-4,0.008221151391933664,0.004 (0.002)
Trump support,40 to 50,Unadjusted,-0.001639576717834555,0.0027272145233184697,485369,-0.6011909601594234,0.5477130855104833,-0.0069848322911169125,0.0037056788554478024,-0.002 (0.003)
Trump support,40 to 50,PAP adjustment set,-0.002136109693084065,0.002412665206076033,485366,-0.8853734400050645,0.37595569107104787,-0.006864858395899313,0.0025926390097311823,-0.002 (0.002)
Trump support,40 to 50,Full adjustment set,-0.0019587263394399037,0.002393271618049877,485337,-0.8184304383452906,0.41311184895353836,-0.006649464214103637,0.0027320115352238296,-0.002 (0.002)
Trump support,50 to 60,Unadjusted,0.001822613746718996,0.002848340577337333,478331,0.6398861713450011,0.5222469113555324,-0.003760045326878758,0.0074052728203167495,0.002 (0.003)
Trump support,50 to 60,PAP adjustment set,-7.426351557725269e-4,0.002510711125216141,478328,-0.2957867786197806,0.7673930489874617,-0.00566355098870144,0.004178280677156386,-0.001 (0.003)
Trump support,50 to 60,Full adjustment set,-2.4599475466147554e-4,0.0024974521963241785,478299,-0.09849828358017729,0.9215366761137891,-0.0051409234994816404,0.004648933990158689,-0.000 (0.002)
Trump support,60 to 70,Unadjusted,-0.004186607217750161,0.002879751684618699,512658,-1.4538084099791055,0.14600004335523606,-0.009830830129801755,0.001457615694301432,-0.004 (0.003)
Trump support,60 to 70,PAP adjustment set,-0.0034852553358620452,0.0025380550157192367,512655,-1.3731992861763833,0.1696910021310044,-0.008459763502132876,0.001489252830408786,-0.003 (0.003)
Trump support,60 to 70,Full adjustment set,-0.0037100743446754373,0.0025124911324443506,512626,-1.4766517170016766,0.13976963524286085,-0.00863447810278507,0.001214329413434195,-0.004 (0.003)
