covariate,covariate_value,estimator,estimate,std.error,df,statistic,p.value,conf.low,conf.high,entry
ATE,ATE,Unadjusted,-2.7480224559151565e-4,0.001376641983762437,1999280,-0.19961780102076085,0.841779525077393,-0.0029729725868447732,0.002423368095661742,-0.000 (0.001)
ATE,ATE,PAP adjustment set,-6.37269236894564e-4,0.0012144335131540889,1999277,-0.52474608942524,0.5997597710163942,-0.0030175166252996498,0.0017429781515105216,-0.001 (0.001)
ATE,ATE,Full adjustment set,-5.258374521571718e-4,0.0012049375062110552,1999248,-0.4364022610688548,0.6625449458816951,-0.0028874729977100763,0.0018357980933957326,-0.001 (0.001)
Age,18-39,Unadjusted,-4.180185436393082e-4,0.0013758493380099767,1379015,-0.30382581296577765,0.7612606457290955,-0.0031146360611196315,0.0022785989738410154,-0.000 (0.001)
Age,18-39,PAP adjustment set,-8.494948534947984e-4,0.0012449728856986655,1379012,-0.6823400439103307,0.4950240724803373,-0.0032895990128828634,0.0015906093058932667,-0.001 (0.001)
Age,18-39,Full adjustment set,-6.09301718727609e-4,0.001235640744913106,1378983,-0.4931058814918385,0.6219378538459543,-0.0030311152022682187,0.0018125117648130004,-0.001 (0.001)
Age,40+,Unadjusted,4.765464097616298e-4,0.0031740062072197865,620263,0.15014035217626498,0.8806539331791897,-0.00574440358249152,0.006697496402014779,0.000 (0.003)
Age,40+,PAP adjustment set,-4.46307648973468e-4,0.002751172810434149,620260,-0.16222450559295779,0.871129115566306,-0.005838517794936107,0.0049459024969891715,-0.000 (0.003)
Age,40+,Full adjustment set,-1.6061054831541244e-4,0.002737261119380888,620243,-0.05867564010544205,0.9532104811828611,-0.0055255542279292425,0.005204333131298418,-0.000 (0.003)
Gender,Female,Unadjusted,-0.0014538443939651215,0.0017702441619349301,978039,-0.8212677240952039,0.41149398813142335,-0.004923463489000433,0.0020157747010701907,-0.001 (0.002)
Gender,Female,PAP adjustment set,-0.0012863040808663558,0.0015842351646236155,978036,-0.811940114441253,0.41682619265001264,-0.004391351789210341,0.0018187436274776294,-0.001 (0.002)
Gender,Female,Full adjustment set,-0.0012186931168322245,0.0015722309276653284,978016,-0.7751362063853514,0.43825936651763275,-0.004300212924037203,0.0018628266903727541,-0.001 (0.002)
Gender,Other,Unadjusted,8.543646818844351e-4,0.002091718259265297,1021239,0.40845112772717557,0.6829425894638255,-0.003245332631010376,0.004954061994779246,0.001 (0.002)
Gender,Other,PAP adjustment set,-9.566156253647677e-6,0.0018283331234711148,1021236,-0.005232173574302588,0.9958253495549038,-0.0035930374771140344,0.0035739051646067393,-0.000 (0.002)
Gender,Other,Full adjustment set,4.5531715041574495e-5,0.0018152249649102193,1021216,0.02508323536847483,0.9799885771148082,-0.0035122480567688803,0.0036033114868520297,0.000 (0.002)
Race,Black,Unadjusted,-5.853867107462609e-4,0.0026808703465084657,233544,-0.2183569643748948,0.8271511847097748,-0.0058398232687551154,0.004669049847262594,-0.001 (0.003)
Race,Black,PAP adjustment set,-0.0012600384757127771,0.002458016085194032,233541,-0.5126241782153804,0.6082147217738842,-0.006077686444365254,0.0035576094929397,-0.001 (0.002)
Race,Black,Full adjustment set,-8.342907852556392e-4,0.002436612735860017,233524,-0.3423977774462265,0.7320518690270121,-0.0056099887444539046,0.003941407173942627,-0.001 (0.002)
